month,region,chain_id,chain_name,product_group,plan_qty,mon_weight,tue_weight,wed_weight,thu_weight,fri_weight,sat_weight,sun_weight
2025-01,Минск,CH001,Евроопт,Колбасы,4306,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Минск,CH001,Евроопт,Сосиски,3643,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Минск,CH001,Евроопт,Деликатесы,1711,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Минск,CH001,Евроопт,Полуфабрикаты,2650,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Брест,CH002,Санта,Колбасы,3050,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Брест,CH002,Санта,Сосиски,2581,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Брест,CH002,Санта,Деликатесы,1212,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Брест,CH002,Санта,Полуфабрикаты,1877,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Гродно,CH003,Корона,Колбасы,3409,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Гродно,CH003,Корона,Сосиски,2884,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Гродно,CH003,Корона,Деликатесы,1355,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Гродно,CH003,Корона,Полуфабрикаты,2098,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Гомель,CH004,Гиппо,Колбасы,2691,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Гомель,CH004,Гиппо,Сосиски,2277,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Гомель,CH004,Гиппо,Деликатесы,1070,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-01,Гомель,CH004,Гиппо,Полуфабрикаты,1656,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Минск,CH001,Евроопт,Колбасы,4493,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Минск,CH001,Евроопт,Сосиски,3802,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Минск,CH001,Евроопт,Деликатесы,1786,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Минск,CH001,Евроопт,Полуфабрикаты,2765,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Брест,CH002,Санта,Колбасы,3182,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Брест,CH002,Санта,Сосиски,2693,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Брест,CH002,Санта,Деликатесы,1265,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Брест,CH002,Санта,Полуфабрикаты,1958,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Гродно,CH003,Корона,Колбасы,3557,1.0,1.0,1.0,1.0,1.0,0.55,0.25
2025-02,Гродно,CH003,Корона,Сосиски,3010,1.0,1.0,1.0,1.0,1.0,0.55,0.25
