doc_id,date,region,chain_id,chain_name,customer_id,sku_id,product_group,qty,revenue_byn
S20260122-CH003-02308,2026-01-22,Гродно,CH003,Корона,CUST_CH003,SKU_012,Полуфабрикаты,61,452.54
S20250310-CH001-01388,2025-03-10,Минск,CH001,Евроопт,CUST_CH001,SKU_006,Сосиски,44,609.86
S20250318-CH003-01555,2025-03-18,Гродно,CH003,Корона,CUST_CH003,SKU_009,Деликатесы,31,753.25
S20250224-CH001-01103,2025-02-24,Минск,CH001,Евроопт,CUST_CH001,SKU_007,Деликатесы,14,313.09
S20260212-CH004-02726,2026-02-12,Гомель,CH004,Гиппо,CUST_CH004,SKU_006,Сосиски,53,744.88
S20250321-CH002-01626,2025-03-21,Брест,CH002,Санта,CUST_CH002,SKU_010,Полуфабрикаты,57,460.76
S20250214-CH001-00896,2025-02-14,Минск,CH001,Евроопт,CUST_CH001,SKU_001,Колбасы,28,337.35
S20260105-CH003-01939,2026-01-05,Гродно,CH003,Корона,CUST_CH003,SKU_011,Полуфабрикаты,76,689.82
S20260329-CH002-03653,2026-03-29,Брест,CH002,Санта,CUST_CH002,SKU_005,Сосиски,68,698.67
S20260212-CH002-02714,2026-02-12,Брест,CH002,Санта,CUST_CH002,SKU_001,Колбасы,76,911.36
S20250103-CH004-00063,2025-01-03,Гомель,CH004,Гиппо,CUST_CH004,SKU_002,Колбасы,63,1017.45
S20260106-CH003-01958,2026-01-06,Гродно,CH003,Корона,CUST_CH003,SKU_010,Полуфабрикаты,38,303.02
S20260206-CH001-02596,2026-02-06,Минск,CH001,Евроопт,CUST_CH001,SKU_011,Полуфабрикаты,51,458.34
S20250106-CH002-00110,2025-01-06,Брест,CH002,Санта,CUST_CH002,SKU_004,Сосиски,48,625.79
S20250203-CH001-00663,2025-02-03,Минск,CH001,Евроопт,CUST_CH001,SKU_010,Полуфабрикаты,55,409.58
S20250116-CH004-00326,2025-01-16,Гомель,CH004,Гиппо,CUST_CH004,SKU_008,Деликатесы,53,1322.15
S20260224-CH002-02977,2026-02-24,Брест,CH002,Санта,CUST_CH002,SKU_005,Сосиски,49,579.47
S20260106-CH004-01963,2026-01-06,Гомель,CH004,Гиппо,CUST_CH004,SKU_004,Сосиски,57,732.28
S20260109-CH003-02034,2026-01-09,Гродно,CH003,Корона,CUST_CH003,SKU_010,Полуфабрикаты,63,509.24
S20250311-CH002-01415,2025-03-11,Брест,CH002,Санта,CUST_CH002,SKU_012,Полуфабрикаты,62,459.04
S20250317-CH004-01542,2025-03-17,Гомель,CH004,Гиппо,CUST_CH004,SKU_006,Сосиски,24,322.86
S20260320-CH001-03460,2026-03-20,Минск,CH001,Евроопт,CUST_CH001,SKU_007,Деликатесы,58,1274.59
S20250113-CH004-00268,2025-01-13,Гомель,CH004,Гиппо,CUST_CH004,SKU_006,Сосиски,45,631.05
S20250312-CH004-01451,2025-03-12,Гомель,CH004,Гиппо,CUST_CH004,SKU_010,Полуфабрикаты,49,386.18
S20260216-CH003-02808,2026-02-16,Гродно,CH003,Корона,CUST_CH003,SKU_006,Сосиски,52,662.94
S20260227-CH003-03054,2026-02-27,Гродно,CH003,Корона,CUST_CH003,SKU_012,Полуфабрикаты,97,705.58
S20260219-CH002-02877,2026-02-19,Брест,CH002,Санта,CUST_CH002,SKU_004,Сосиски,82,1015.41
S20250103-CH002-00052,2025-01-03,Брест,CH002,Санта,CUST_CH002,SKU_008,Деликатесы,23,536.5
S20260226-CH004-03034,2026-02-26,Гомель,CH004,Гиппо,CUST_CH004,SKU_008,Деликатесы,17,423.67
S20250206-CH003-00741,2025-02-06,Гродно,CH003,Корона,CUST_CH003,SKU_003,Колбасы,65,1154.73
S20250207-CH004-00769,2025-02-07,Гомель,CH004,Гиппо,CUST_CH004,SKU_007,Деликатесы,35,755.64
S20260325-CH001-03565,2026-03-25,Минск,CH001,Евроопт,CUST_CH001,SKU_008,Деликатесы,33,828.31
S20250205-CH003-00721,2025-02-05,Гродно,CH003,Корона,CUST_CH003,SKU_012,Полуфабрикаты,64,499.71
S20260206-CH001-02591,2026-02-06,Минск,CH001,Евроопт,CUST_CH001,SKU_002,Колбасы,64,945.0
S20250308-CH002-01366,2025-03-08,Брест,CH002,Санта,CUST_CH002,SKU_004,Сосиски,66,908.6
S20260126-CH003-02374,2026-01-26,Гродно,CH003,Корона,CUST_CH003,SKU_002,Колбасы,62,894.65
S20260315-CH002-03345,2026-03-15,Брест,CH002,Санта,CUST_CH002,SKU_004,Сосиски,33,418.56
S20250122-CH002-00434,2025-01-22,Брест,CH002,Санта,CUST_CH002,SKU_002,Колбасы,59,895.36
S20260117-CH004-02194,2026-01-17,Гомель,CH004,Гиппо,CUST_CH004,SKU_006,Сосиски,50,664.9
S20260213-CH004-02754,2026-02-13,Гомель,CH004,Гиппо,CUST_CH004,SKU_006,Сосиски,44,561.42
S20260317-CH004-03404,2026-03-17,Гомель,CH004,Гиппо,CUST_CH004,SKU_010,Полуфабрикаты,47,385.15
S20260331-CH003-03698,2026-03-31,Гродно,CH003,Корона,CUST_CH003,SKU_003,Колбасы,61,1027.45
S20250118-CH004-00360,2025-01-18,Гомель,CH004,Гиппо,CUST_CH004,SKU_008,Деликатесы,22,526.95
S20260119-CH004-02235,2026-01-19,Гомель,CH004,Гиппо,CUST_CH004,SKU_009,Деликатесы,32,843.28
S20260207-CH001-02610,2026-02-07,Минск,CH001,Евроопт,CUST_CH001,SKU_004,Сосиски,52,647.63
S20260207-CH004-02621,2026-02-07,Гомель,CH004,Гиппо,CUST_CH004,SKU_007,Деликатесы,29,619.19
S20250201-CH003-00639,2025-02-01,Гродно,CH003,Корона,CUST_CH003,SKU_007,Деликатесы,60,1338.17
S20260328-CH003-03637,2026-03-28,Гродно,CH003,Корона,CUST_CH003,SKU_004,Сосиски,75,967.29
S20260129-CH001-02428,2026-01-29,Минск,CH001,Евроопт,CUST_CH001,SKU_011,Полуфабрикаты,79,769.32
S20250302-CH003-01237,2025-03-02,Гродно,CH003,Корона,CUST_CH003,SKU_004,Сосиски,39,482.49
S20260126-CH003-02375,2026-01-26,Гродно,CH003,Корона,CUST_CH003,SKU_004,Сосиски,47,613.09
S20250117-CH001-00329,2025-01-17,Минск,CH001,Евроопт,CUST_CH001,SKU_001,Колбасы,55,659.44
S20250303-CH004-01261,2025-03-03,Гомель,CH004,Гиппо,CUST_CH004,SKU_001,Колбасы,52,689.2
S20260122-CH001-02290,2026-01-22,Минск,CH001,Евроопт,CUST_CH001,SKU_009,Деликатесы,22,588.65
S20250227-CH003-01181,2025-02-27,Гродно,CH003,Корона,CUST_CH003,SKU_001,Колбасы,40,457.28
S20260325-CH004-03580,2026-03-25,Гомель,CH004,Гиппо,CUST_CH004,SKU_006,Сосиски,48,662.52
S20250324-CH003-01692,2025-03-24,Гродно,CH003,Корона,CUST_CH003,SKU_001,Колбасы,52,646.43
S20250109-CH004-00187,2025-01-09,Гомель,CH004,Гиппо,CUST_CH004,SKU_002,Колбасы,75,1162.77
S20260116-CH004-02177,2026-01-16,Гомель,CH004,Гиппо,CUST_CH004,SKU_002,Колбасы,57,804.94
