operation_id,date,warehouse_id,warehouse_name,sku_id,operation_type,qty,unit_cost_byn
MOV000001,2025-01-01,WH1,Склад Минск,SKU_003,outcome,34,12.96
MOV000002,2025-01-01,WH1,Склад Минск,SKU_006,outcome,32,10.08
MOV000003,2025-01-01,WH1,Склад Минск,SKU_007,outcome,30,15.84
MOV000004,2025-01-01,WH2,Склад Брест,SKU_008,outcome,34,17.28
MOV000005,2025-01-01,WH2,Склад Брест,SKU_010,outcome,23,5.76
MOV000006,2025-01-01,WH2,Склад Брест,SKU_012,outcome,45,5.4
MOV000007,2025-01-02,WH1,Склад Минск,SKU_010,income,192,5.76
MOV000008,2025-01-02,WH2,Склад Брест,SKU_002,income,332,10.8
MOV000009,2025-01-02,WH2,Склад Брест,SKU_003,income,280,12.96
MOV000010,2025-01-02,WH2,Склад Брест,SKU_006,income,229,10.08
MOV000011,2025-01-02,WH2,Склад Брест,SKU_010,income,312,5.76
MOV000012,2025-01-02,WH1,Склад Минск,SKU_004,outcome,19,9.36
MOV000013,2025-01-02,WH2,Склад Брест,SKU_005,outcome,35,8.28
MOV000014,2025-01-02,WH2,Склад Брест,SKU_008,outcome,20,17.28
MOV000015,2025-01-02,WH2,Склад Брест,SKU_009,outcome,39,18.72
MOV000016,2025-01-02,WH2,Склад Брест,SKU_012,outcome,25,5.4
MOV000017,2025-01-03,WH1,Склад Минск,SKU_009,outcome,30,18.72
MOV000018,2025-01-03,WH1,Склад Минск,SKU_012,outcome,37,5.4
MOV000019,2025-01-03,WH2,Склад Брест,SKU_006,outcome,27,10.08
MOV000020,2025-01-03,WH2,Склад Брест,SKU_008,outcome,34,17.28
MOV000021,2025-01-03,WH2,Склад Брест,SKU_012,outcome,19,5.4
MOV000022,2025-01-04,WH1,Склад Минск,SKU_012,outcome,41,5.4
MOV000023,2025-01-04,WH2,Склад Брест,SKU_005,outcome,52,8.28
MOV000024,2025-01-04,WH2,Склад Брест,SKU_010,outcome,62,5.76
MOV000025,2025-01-05,WH1,Склад Минск,SKU_002,outcome,35,10.8
MOV000026,2025-01-05,WH1,Склад Минск,SKU_003,outcome,42,12.96
MOV000027,2025-01-05,WH1,Склад Минск,SKU_010,outcome,17,5.76
MOV000028,2025-01-05,WH1,Склад Минск,SKU_011,outcome,50,6.48
MOV000029,2025-01-05,WH2,Склад Брест,SKU_007,outcome,42,15.84
MOV000030,2025-01-06,WH1,Склад Минск,SKU_005,income,270,8.28
MOV000031,2025-01-06,WH1,Склад Минск,SKU_007,income,374,15.84
MOV000032,2025-01-06,WH2,Склад Брест,SKU_004,income,284,9.36
MOV000033,2025-01-06,WH2,Склад Брест,SKU_007,income,272,15.84
MOV000034,2025-01-06,WH2,Склад Брест,SKU_008,income,328,17.28
MOV000035,2025-01-06,WH2,Склад Брест,SKU_009,income,236,18.72
MOV000036,2025-01-06,WH2,Склад Брест,SKU_010,income,361,5.76
MOV000037,2025-01-06,WH1,Склад Минск,SKU_006,outcome,24,10.08
MOV000038,2025-01-06,WH2,Склад Брест,SKU_011,outcome,24,6.48
MOV000039,2025-01-07,WH2,Склад Брест,SKU_005,outcome,25,8.28
MOV000040,2025-01-07,WH2,Склад Брест,SKU_007,outcome,42,15.84
MOV000041,2025-01-07,WH2,Склад Брест,SKU_011,outcome,28,6.48
MOV000042,2025-01-08,WH1,Склад Минск,SKU_005,outcome,21,8.28
MOV000043,2025-01-08,WH1,Склад Минск,SKU_009,outcome,28,18.72
MOV000044,2025-01-08,WH2,Склад Брест,SKU_001,outcome,34,8.64
MOV000045,2025-01-09,WH1,Склад Минск,SKU_003,income,229,12.96
MOV000046,2025-01-09,WH1,Склад Минск,SKU_004,income,230,9.36
MOV000047,2025-01-09,WH2,Склад Брест,SKU_002,income,426,10.8
MOV000048,2025-01-09,WH2,Склад Брест,SKU_006,income,248,10.08
MOV000049,2025-01-09,WH2,Склад Брест,SKU_007,income,280,15.84
MOV000050,2025-01-09,WH2,Склад Брест,SKU_010,income,277,5.76
MOV000051,2025-01-09,WH2,Склад Брест,SKU_009,outcome,30,18.72
MOV000052,2025-01-10,WH1,Склад Минск,SKU_002,outcome,41,10.8
MOV000053,2025-01-10,WH1,Склад Минск,SKU_011,outcome,44,6.48
MOV000054,2025-01-10,WH1,Склад Минск,SKU_012,outcome,31,5.4
MOV000055,2025-01-10,WH2,Склад Брест,SKU_001,outcome,22,8.64
MOV000056,2025-01-10,WH2,Склад Брест,SKU_005,outcome,47,8.28
MOV000057,2025-01-10,WH2,Склад Брест,SKU_007,outcome,34,15.84
MOV000058,2025-01-11,WH1,Склад Минск,SKU_005,outcome,52,8.28
MOV000059,2025-01-12,WH1,Склад Минск,SKU_001,outcome,12,8.64
MOV000060,2025-01-12,WH1,Склад Минск,SKU_004,outcome,36,9.36
MOV000061,2025-01-12,WH2,Склад Брест,SKU_002,outcome,54,10.8
MOV000062,2025-01-12,WH2,Склад Брест,SKU_006,outcome,31,10.08
MOV000063,2025-01-12,WH2,Склад Брест,SKU_007,outcome,32,15.84
MOV000064,2025-01-13,WH1,Склад Минск,SKU_005,income,317,8.28
MOV000065,2025-01-13,WH2,Склад Брест,SKU_006,income,266,10.08
MOV000066,2025-01-13,WH2,Склад Брест,SKU_005,outcome,31,8.28
MOV000067,2025-01-14,WH1,Склад Минск,SKU_001,outcome,31,8.64
MOV000068,2025-01-14,WH1,Склад Минск,SKU_008,outcome,28,17.28
MOV000069,2025-01-14,WH2,Склад Брест,SKU_008,outcome,47,17.28
MOV000070,2025-01-15,WH1,Склад Минск,SKU_002,outcome,39,10.8
MOV000071,2025-01-15,WH2,Склад Брест,SKU_004,outcome,37,9.36
MOV000072,2025-01-16,WH1,Склад Минск,SKU_002,income,348,10.8
MOV000073,2025-01-16,WH1,Склад Минск,SKU_012,income,284,5.4
MOV000074,2025-01-16,WH2,Склад Брест,SKU_001,income,253,8.64
MOV000075,2025-01-16,WH2,Склад Брест,SKU_005,income,263,8.28
MOV000076,2025-01-16,WH2,Склад Брест,SKU_009,income,300,18.72
MOV000077,2025-01-16,WH2,Склад Брест,SKU_011,income,236,6.48
MOV000078,2025-01-16,WH2,Склад Брест,SKU_001,outcome,29,8.64
MOV000079,2025-01-16,WH2,Склад Брест,SKU_006,outcome,29,10.08
MOV000080,2025-01-16,WH2,Склад Брест,SKU_008,outcome,56,17.28
MOV000081,2025-01-17,WH1,Склад Минск,SKU_004,outcome,7,9.36
MOV000082,2025-01-17,WH2,Склад Брест,SKU_001,outcome,33,8.64
MOV000083,2025-01-17,WH2,Склад Брест,SKU_003,outcome,52,12.96
MOV000084,2025-01-18,WH1,Склад Минск,SKU_010,outcome,36,5.76
MOV000085,2025-01-18,WH1,Склад Минск,SKU_012,outcome,42,5.4
MOV000086,2025-01-19,WH1,Склад Минск,SKU_003,outcome,35,12.96
MOV000087,2025-01-19,WH1,Склад Минск,SKU_004,outcome,28,9.36
MOV000088,2025-01-19,WH2,Склад Брест,SKU_012,outcome,12,5.4
MOV000089,2025-01-20,WH1,Склад Минск,SKU_001,income,312,8.64
MOV000090,2025-01-20,WH1,Склад Минск,SKU_008,income,253,17.28
MOV000091,2025-01-20,WH1,Склад Минск,SKU_011,income,251,6.48
MOV000092,2025-01-20,WH2,Склад Брест,SKU_012,income,270,5.4
MOV000093,2025-01-20,WH2,Склад Брест,SKU_010,outcome,52,5.76
MOV000094,2025-01-21,WH1,Склад Минск,SKU_001,outcome,59,8.64
MOV000095,2025-01-21,WH2,Склад Брест,SKU_008,outcome,37,17.28
MOV000096,2025-01-21,WH2,Склад Брест,SKU_009,outcome,30,18.72
MOV000097,2025-01-21,WH2,Склад Брест,SKU_011,outcome,23,6.48
MOV000098,2025-01-22,WH2,Склад Брест,SKU_002,outcome,39,10.8
MOV000099,2025-01-22,WH2,Склад Брест,SKU_003,outcome,52,12.96
MOV000100,2025-01-22,WH2,Склад Брест,SKU_007,outcome,32,15.84
